GEOID20,POP20,votes_dem,votes_gop,WHITEPOP(non-Hisp),BLACKPOP,HISPLATPOP
17031823903,4657,1013.565712,1346.548498,4119,67,305
17031823904,4043,963.5150614,1317.689966,3704,24,165
17031824003,6242,1170.865004,1748.113005,5542,42,430
17031824004,5374,938.0590555,1475.870286,4774,45,305
17031824005,5933,1135.165307,1578.642823,5077,61,450
17031824006,5096,865.5773009,1524.873888,4417,58,358
17031824105,7297,1603.708568,1736.0008,5960,236,568
17031824106,7021,1476.793813,1687.955711,5704,204,654
17031824107,6747,1530.268941,1609.641088,5497,216,562
17031824113,6322,1333.881238,1754.753952,5277,103,412
17031824114,5299,1112.496708,1435.778732,4179,217,382
17031824115,3843,824.3189986,837.0479505,3012,96,471
17031824116,5244,1011.972881,983.2265378,3839,296,710
17031824119,5456,1287.590388,1585.701465,4491,159,351
17031824121,3138,712.5868922,696.575095,2621,87,252
17031824122,6209,1470.284036,1558.767231,5162,170,438
17031824123,7753,1700.602039,1447.300633,6058,411,810
17031824124,3679,809.1279238,553.2341602,2300,614,364
17031824125,4098,853.7023865,770.4050595,3240,51,551
17031824126,5951,1357.001395,1475.140727,4858,174,420
17031824127,3706,979.3953289,1007.701089,3134,129,229
17031824128,4638,1034.896836,1407.315389,3803,171,251
17031824129,4357,923.9839858,1255.956134,3622,135,260
17031824300,4499,1546.044395,69.11963899,274,3598,527
17031824400,2007,507.6839369,188.7371402,707,798,421
17031824503,6880,1513.048797,1632.078385,5322,389,792
17031824505,6783,1348.777629,1222.420424,4616,494,922
17031824507,4136,896.7278886,736.9386537,3227,244,425
17031824508,3699,838.0357696,853.9837628,2996,157,335
17031824509,4154,918.3097804,912.7929169,3134,261,579
17031824601,4392,887.6128626,794.7334422,3076,281,790
17031824602,6245,1269.605929,1065.574524,4208,503,1139
17031824701,3782,720.3532591,452.8730158,1786,484,1319
17031824702,5453,1063.166667,572.3333335,2079,975,2196
17031824800,7178,1370.502273,305.8263615,1077,1475,4347
17031824900,3244,1052.92338,129.2902647,426,1839,894
17031825000,4766,921.3877489,717.5350496,2887,483,871
17031825200,2016,398.2702705,231.0810813,889,281,681
17031825302,5938,1321.404331,1147.984231,4035,691,790
17031825303,3785,751.8924102,695.3955071,2933,258,459
17031825304,3923,908.003349,833.724517,3109,171,340
17031825400,5337,1124.43291,1117.174631,4236,376,443
17031825501,5766,2262.957635,145.8036166,518,4764,348
17031825503,6540,2905.878025,280.085683,762,5225,335
17031825504,3591,1434.351655,86.44371787,153,3139,162
17031825505,5364,2375.785415,153.812928,343,4632,248
17031825600,5138,1662.926351,140.8493211,409,3679,879
17031825700,4046,1310.333334,127.8333334,491,2445,1035
17031825801,3569,1260.266766,39.6300062,128,3226,159
17031825802,5862,2243.132619,117.164148,194,4943,632
17031825803,5908,2367.624569,125.4008307,248,5021,516
17031825900,3296,906.050547,95.4433185,269,1957,990
17031826000,2660,541.8096618,56.93590987,223,1333,1023
17031826100,5931,1590.241777,241.3565324,734,3298,1816
17031826201,3844,1696.358667,82.45519088,272,3260,226
17031826202,5710,1725.346606,217.2413196,701,3681,1198
17031826301,3923,1528.209646,107.1906676,203,3313,290
17031826303,4068,1847.166667,87.16666672,142,3693,104
17031826304,2874,1143.874248,46.19004606,77,2633,105
17031826401,3725,1526.935546,49.65312021,59,3424,182
17031826402,4728,1957.669272,78.1744853,122,4304,220
17031826500,5614,2151.965461,87.2291788,170,5051,278
17031826600,4595,1755,64.33333345,120,4233,161
17031826700,4573,1597.482895,66.02640584,137,4230,121
17031826800,4596,1013.017105,102.140261,548,2058,1883
17031826901,1462,475.2165576,14.00220377,12,1168,266
17031826902,1255,390.1641667,14.30379553,18,1011,197
17031827000,2968,1059.896758,42.88291695,63,2413,406
17031827100,2265,676.3668291,31.23695222,41,1755,275
17031827200,3693,1307.366913,72.71535259,135,2572,923
17031827300,2277,632.010995,27.36235218,62,1504,484
17031827400,3230,1114.860048,42.96258277,102,2630,448
17031827500,4465,1059.095142,95.25080562,210,1893,2307
17031827600,3012,1267.599299,32.63333008,19,2714,220
17031827700,2452,762.9768214,64.96468001,212,1899,282
17031827801,4645,1790.037251,341.1160375,782,3338,398
17031827802,3314,1479.080644,145.7264437,220,2751,243
17031827804,3149,1490.437925,175.6825493,314,2568,172
17031827805,2953,1407.021843,155.2428983,284,2453,168
17031827901,2421,1314.499999,103.6666667,163,2122,55
17031827902,4558,1173.072024,268.5423944,883,2566,878
17031828000,5411,1347.493817,519.7626062,1610,2296,1352
17031828100,5083,1275.369854,663.0038142,2035,1785,1092
17031828201,4491,1225.59067,455.1331796,1166,2194,977
17031828202,4590,1441.712327,451.6004004,1224,2502,672
17031828300,3363,978.2047079,453.8089535,1451,1321,495
17031828401,3598,1256.521128,458.1452107,2030,1066,300
17031828402,3688,1413.085576,339.189122,1302,1783,423
17031828503,4322,1117.353458,134.6490445,607,2973,607
17031828504,5474,1350.463998,275.8492093,925,3471,819
17031828505,6682,2202.233107,752.9468071,1913,3142,1427
17031828507,3999,1538.913802,233.0502601,670,2884,303
17031828508,4630,1654.833776,222.0968838,723,3396,375
17031828601,4198,1524.060269,587.2224793,2378,1103,514
17031828602,4666,1954.538751,401.0549719,1349,2692,344
17031828701,3780,1461.37116,225.2902671,700,2659,325
17031828702,4742,1972.296515,213.0736991,538,3633,454
17031828801,5122,1839.883817,596.6880309,1741,2209,896
17031828802,2982,792.4878633,278.8093052,964,1045,860
17031828900,3399,720.7284297,165.6012663,328,1241,1810
17031829000,882,241.9834267,12.86200078,13,760,79
17031829100,3512,547.7774158,79.62249907,267,787,2406
17031829200,5547,1043.429782,385.9082595,1023,1662,2742
17031829301,3931,1161.150162,351.1041234,978,1833,1007
17031829302,3633,896.9381826,128.2214706,238,2293,1003
17031829401,1049,417.579659,16.73438324,17,854,166
17031829402,3088,1197.336876,153.7579003,675,2055,187
17031829500,4001,668.198806,377.2480622,1249,700,1897
17031829600,3035,571.1377388,399.567401,1520,529,793
17031829700,3344,1052.969679,226.3083431,698,2240,315
17031829800,6891,3127.017003,753.3386416,2427,3735,347
17031829902,6457,3311.175987,242.4121834,574,5432,213
17031829903,4529,1874.246535,125.6749175,267,3842,285
17031829904,4168,1625.698805,649.980366,1869,1862,226
17031830001,2432,449.5000005,336.1666668,1419,189,701
17031830003,7640,3939.210237,136.1357158,203,6937,241
17031830004,7529,3374.697483,242.1821263,556,6409,286
17031830005,3768,2050.425614,241.0154915,560,2934,130
17031830006,2526,1000.178982,137.4484811,453,1767,201
17031830007,4638,1750.339962,145.4067762,375,3826,296
17031830008,4342,1917.798453,113.1372142,221,3836,176
17031830100,3297,1422.974549,140.3786946,414,2485,273
17031830201,5105,1995.112851,139.7102216,507,4232,201
17031830202,3377,1137.804777,170.0985663,606,2363,283
17031830300,5369,1969.457097,213.6533795,761,4078,331
17031830400,4091,1305.166667,298.3333334,924,2544,424
17031830500,4410,883.9391797,85.11856306,73,46,4260
17031830600,4935,1587.973905,140.6215153,1626,813,1933
17031830700,4006,1643.937129,185.5663142,1704,1291,548
17031830800,2405,1198.809984,137.6081962,1661,76,400
17031830900,3076,1181.914958,209.8134101,1663,134,969
17031831000,2633,1040.245544,253.716607,2048,42,252
17031831100,6697,1963.039927,307.023496,2432,236,3515
17031831200,4832,970.6233055,118.1550787,301,286,4199
17031831300,1251,346.6123252,17.95055957,26,462,760
17031831400,2820,928.6035541,67.65651975,256,1936,537
17031831500,4421,938.0492456,245.8897751,1029,427,2730
17031831600,7745,1722.996539,412.2331881,1529,650,5259
17031831700,2237,637.6003702,157.4615929,856,76,1128
17031831800,5868,1658.732135,407.4806374,2254,342,1574
17031831900,3040,1296.673544,280.2768769,2498,42,243
17031832000,2062,762.7517902,161.4236485,1631,56,187
17031832100,3410,1341.808476,195.4012567,2160,536,356
17031832200,3289,1340.718349,243.1025885,2502,56,395
17031832300,2054,774.2225127,172.8368445,1431,55,305
17031832400,3601,1423.788909,172.966661,2148,139,917
17031832500,3334,1006.491178,341.7159115,2478,273,272
17031832600,4147,1468.045548,492.78453,3443,64,232
17031832900,1995,566.8574364,174.2933333,914,85,200
17031833000,5637,1822.910217,512.6481785,3933,390,341
17031833100,9493,3171.348955,863.0475591,5971,814,709
17031833300,2912,662.7703227,183.6052572,1333,165,277
17031833900,2333,394.9175019,44.95253574,67,1248,987
17031834000,3609,1159.333228,21.79665685,22,3426,91
17031834200,4693,1678.895897,48.25985537,47,4357,129
17031834300,6240,2905.983171,90.41883099,35,5909,120
17031834400,3765,1363.595681,38.12167206,163,3348,111
17031834500,1765,412.9706555,10.11022305,17,1672,34
17031834600,2357,780.8421382,24.18437876,21,2072,204
17031834700,1759,497.0287933,12.70634389,11,1551,153
17031834800,1753,545.5510863,16.21893614,9,1571,127
17031834900,1952,604.7307727,14.36963331,6,1770,146
17031835000,6398,1185.291059,67.59395117,89,2676,3614
17031835100,5585,950.428619,71.77673049,130,802,4604
17031835200,2038,399.7049753,148.3849569,556,70,1365
17031835500,1584,391.005248,27.47365183,50,1273,212
17031835600,898,281.7310383,12.11041053,15,672,183
17031835800,1698,606.6540176,18.93829958,43,1534,48
17031836000,2338,653.1457221,53.11329654,62,2121,97
17031836100,1893,569.7324352,16.38873478,20,1780,68
17031836200,2178,509.0975505,53.44451945,1086,120,242
17031836300,1492,530.4550196,25.51972094,477,704,109
17031836400,3621,798.4250282,164.4751048,151,3206,144
17031836500,1527,572.1045264,22.18619648,15,1446,35
17031836600,2929,927.5795884,82.66029471,552,787,1544
17031836700,2481,750.4175276,31.26720202,194,1679,587
17031836800,2645,901.3758864,35.24556736,215,2091,290
17031836900,1439,440.7212915,17.75702556,53,1220,141
