Unit 1,Unit 2,Shared perim (meters)
17081050100,17121952500,393.2452798
17081050100,17121952300,15707.25075
17081050100,17121952200,9810.549547
17029000800,17029000900,4500.398698
17029000800,17029000702,1673.856816
17029000800,17029000701,1494.733002
17029000500,17029000900,4013.92302
17029000500,17029000600,1834.11141
17029000500,17029000702,2137.195054
17029000500,17029000701,3300.877589
17029000500,17029000400,3906.728637
17029000500,17029000100,13310.17569
17029000900,17029000600,13831.81443
17029000900,17029000702,358.6545425
17029000900,17029000701,3526.251037
17029001000,17029001100,2556.96439
17029001000,17029000400,3842.526307
17029001000,17029000200,5527.958817
17115001000,17115001100,4615.591738
17115001000,17115000900,696.1241614
17115001000,17115002100,4108.586346
17115001000,17115002200,116.2452554
17115000900,17115000200,211.3023682
17115000900,17115003100,1842.18136
17115000900,17115001100,2162.275143
17115000900,17115002100,1608.598878
17029000400,17029001100,704.8077606
17029000400,17029000600,1032.320804
17029000400,17029000300,4621.356455
17029000400,17029000200,4747.449166
17029000400,17029000100,12477.31776
17029000300,17029001100,329.6104184
17029000300,17029001200,4771.503186
17029000300,17029000200,9987.841071
17029000300,17029000100,0
17115000600,17115001600,652.9809927
17115000600,17115000502,995.7153198
17115000600,17115003100,878.9622559
17115000600,17115001700,805.4812175
17115000600,17115002002,526.7876964
17115000600,17115001900,779.6313695
17115000600,17115001802,0
17115000400,17115001400,0
17115000400,17115000300,24.59691307
17115000400,17115000501,1626.641555
17115000400,17115001500,2408.550948
17115000400,17115001600,714.3246094
17115000400,17115000502,990.4006764
17113005700,17053961900,4860.355076
17113005700,17113005601,29497.525
17113005700,17113005102,20498.54171
17113005700,17105961000,22783.12701
17113005700,17105960800,17810.33599
17113005700,17105960400,4846.616606
17113005502,17147954500,9750.015292
17113005502,17039971500,4968.479876
17113005502,17039971400,14550.99541
17113005502,17113005402,8274.122284
17113005502,17113005501,19595.04246
17113005502,17113005401,835.5466783
17113005502,17113005602,22000.41086
17113005502,17053961900,0
17113005602,17113005501,7339.867866
17113005602,17113005401,9725.614431
17113005602,17053961900,9703.53473
17113005602,17113005601,32728.38955
17113005602,17113005102,3235.977141
17113001302,17113001301,1258.49351
17113001302,17113000400,637.4775147
17113000105,17113000109,3899.971039
17113000105,17113000108,5024.287388
17113000105,17113000507,2110.002435
17113000105,17113005202,4089.226293
17113000105,17113005102,13225.41227
17113005202,17113006000,11939.04389
17113005202,17179022000,0
17113005202,17113005201,12380.141
17113005202,17113000108,867.8949534
17113005202,17179021701,12081.89539
17113005202,17113005102,5692.823992
17113005202,17203030602,22232.42317
17001010301,17149952500,0
17001010301,17149952400,17891.13168
17001010301,17001010302,31353.79355
17001010301,17009970400,19251.11276
17001010301,17001010400,9727.802531
17001010301,17001010200,19924.49417
17001010301,17001010100,0
17113000200,17113000400,864.403094
17113000200,17113000106,767.7914324
17113000200,17113000107,899.7454129
17113000200,17113000108,607.3118771
17023060200,17023060100,31631.38372
17001010302,17149952500,21888.44936
17001010302,17149952400,0
17001010302,17001010600,19686.47356
17001010302,17001010400,10038.25524
17113000400,17113001403,397.9788349
17113000400,17113001301,285.2876988
17113000400,17113000106,313.6736152
17113005601,17053961900,9695.105289
17113005601,17113005102,6484.420052
17113005501,17113005401,3832.555215
17113001301,17113001800,397.6188919
17143002500,17143001600,2049.112656
17143002500,17143001500,959.0805408
17143002500,17143002100,585.6534187
17143002500,17143002200,206.1730142
17143002500,17143002400,1659.822502
17143002500,17143002600,573.962917
17143002400,17143002200,600.6326365
17143002400,17143002600,1362.601985
17143002400,17143002300,1610.615168
17143002400,17143004300,1446.81123
17143002800,17143002200,595.7645763
17143002800,17143004102,1109.142851
17143002800,17143002702,2778.142665
17143002800,17143002300,1610.192202
17143002800,17143002900,812.7502952
17143002800,17143003000,3205.210378
17143002800,17143003101,884.8356255
17143002600,17179020100,0
17143002600,17143001500,2625.109406
17143002600,17179021201,2101.644735
17143002600,17143004300,1014.974134
17143002600,17143004200,2021.612835
17023060400,17079977300,4958.168183
17023060400,17033880100,11244.52989
17023060400,17035972400,12985.24985
17023060400,17023060300,44315.07864
17023060400,17023060100,41149.24514
17023060400,17029000600,15933.32493
17023060400,17045070500,9600.55694
17023060300,17035972400,9779.235056
17143002300,17143002200,1620.081407
17143002300,17143004300,1333.152521
17143002300,17143002900,2027.368922
17023060100,17033880100,19004.60495
17023060100,17045070500,28648.01609
17083010200,17119402801,880.5466725
17083010200,17119402701,6576.822791
17083010200,17119402721,0
17083010200,17083010300,4733.510469
17083010200,17117956600,12947.63202
17083010200,17083010100,18568.47301
17097861702,17097862200,1655.24369
17097861702,17097862100,1622.120009
17097861702,17097866100,549.2849156
17097861702,17097861701,3702.056835
17097861702,17097861803,1128.310866
17083010100,17083010300,411.8998927
17083010100,17117956600,4863.895289
17083010100,17083010401,17559.75768
17083010100,17117956500,11365.1289
17083010100,17061973800,0
17083010100,17061973600,28440.68069
17083010500,17083010300,4797.585584
17083010500,17013951300,24227.27446
17083010500,17083010402,27673.04574
17143003101,17143004102,1091.12768
17143003101,17143004101,3793.573411
17143003101,17143003000,952.0230383
